Project Type: Cut-In 08/20/2018 Buyer: Danielle Minchella x643 Analyst: Megan McDermott x322,,,,,,,,,,,"9/21/2018
HBA Department
33173 Aromatherapy-08' L-Released Option A",,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 8.00""                                                                     Shelf 14:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 8.00""                                                                     Shelf 13:  Height 0' 11.50"", Length 4' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 5.00"", Length 4' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,"00
WI TA
Shelf 12:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 11:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 8.00""
Shelf 10:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 8.50"", Length 4' 0.00"", Depth 1' 8.00""                                                                     Shelf 9:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 8.00""                                                                     Shelf 8:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Location(s):
Notes: For use when slat wall pannel is on the Left.",,,,,,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 1",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,First,,,,,Product,,,,,
Positio,,UPC,,,,Facings,,,Brand,,,,,Long Description,,,,,,Size,,,UOM,,,,Date,,,,,Width,,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 8.00"",   Product: 4' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0031885850912,,,,1,,,HOME HEALTH,,,,,LANOLIN-LIQUID,,,,,,4.00,,,OZ,,,,Jul 17 2016 1,,,,,1.65,,,,,,
2,0031885850124,,,,2,,,HOME HEALTH,,,,,CASTOR OIL,,,,,,8.00,,,OZ,,,,Jul 17 2016 1,,,,,2.00,,,,,,
3,0031885850148,,,,1,,,HOME HEALTH,,,,,CASTOR OIL,,,,,,16.00,,,OZ,,,,Jul 17 2016 1,,,,,2.40,,,,,,
4,0031885850132,,,,1,,,HOME HEALTH,,,,,CASTOR OIL,,,,,,32.00,,,OZ,,,,Jul 17 2016 1,,,,,3.15,,,,,,
5,0007697022174,,,,1,,,HERITAGE STORE,,,,,WOOL FLANNEL,,,,,,1.00,,,EA,,,,,,,,,6.40,,,,,,
6,0007697022109,,,,1,,,HERITAGE STORE,,,,,CASTOR OIL,,,,,,8.00,,,FOZ,,,,,,,,,2.05,,,,,,
7,0007697022116,,,,1,,,HERITAGE STORE,,,,,CASTOR OIL,,,,,,16.00,,,FOZ,,,,,,,,,2.40,,,,,,
8,0007697022132,,,,1,,,HERITAGE STORE,,,,,CASTOR OIL,,,,,,32.00,,,FOZ,,,,,,,,,3.10,,,,,,
9,0007697011031,,,,1,,,HERITAGE STORE,,,,,AURA GLOW-ALMOND,,,,,,8.00,,,FOZ,,,,,,,,,2.05,,,,,,
10,0007697011034,,,,1,,,HERITAGE STORE,,,,,AURA GLOW-COCONUT MUSK,,,,,,8.00,,,FOZ,,,,,,,,,2.05,,,,,,
11,0007697011035,,,,1,,,HERITAGE STORE,,,,,AURA GLOW-JASMINE,,,,,,8.00,,,FOZ,,,,,,,,,2.05,,,,,,
12,0007697011033,,,,1,,,HERITAGE STORE,,,,,AURA GLOW-LAVENDER,,,,,,8.00,,,FOZ,,,,,,,,,2.05,,,,,,
13,0007697011037,,,,1,,,HERITAGE STORE,,,,,AURA GLOW-VANILLA SPICE,,,,,,8.00,,,FOZ,,,,,,,,,2.05,,,,,,
14,0007697011032,,,,1,,,HERITAGE STORE,,,,,AURA GLOW-ROSE,,,,,,8.00,,,FOZ,,,,,,,,,2.05,,,,,,
15,0007697044656,,,,1,,,HERITAGE STORE,,,,,ROSEWATER & GLYCERIN SKIN SOOTHER SP,,,,,,4.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.70,,,,,,
16,0007697044609,,,,1,,,HERITAGE STORE,,,,,ROSEWATER SPRAY,,,,,,4.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.70,,,,,,
17,0007697044612,,,,2,,,HERITAGE STORE,,,,,ROSEWATER SPRAY,,,,,,8.00,,,FOZ,,,,Jul 17 2016 1,,,,,2.00,,,,,,
18,0005138191337,,,,1,,,AURA CACIA,,,,,ESSENTIAL OIL WICKS,,,,,,10.00,,,PK,,,,Sep 18 2016 1,,,,,1.90,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 8.50"",   Depth: 1' 8.00"",   Product: 3' 11.82""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0072474200834,,,,1,,,ALBA BOTANICA,,,,,MASSAGE OIL-KUKUI NUT,,,,,,8.50,,,FOZ,,,,Jul 17 2016 1,,,,,2.05,,,,,,
2,0081265901292,,,,1,,,SOOTHING TOUCH,,,,,OIL-MASSAGE-COCONUT,,,,,,8.00,,,FOZ,,,,,,,,,1.90,,,,,,
3,0064595140530,,,,1,,,LIFEFLO,,,,,PURE MAGNESIUM OIL,,,,,,8.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.90,,,,,,
4,0064595155407,,,,1,,,LIFEFLO,,,,,NAPCA MIST,,,,,,8.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.90,,,,,,
5,0064595136437,,,,1,,,LIFEFLO,,,,,COCONUT OIL SPRAY,,,,,,8.00,,,OZ,,,,Aug 28 2016 1,,,,,1.90,,,,,,
6,0064595173730,,,,1,,,LIFEFLO,,,,,OIL-COCONUT-FRACTIONATED,,,,,,16.00,,,FOZ,,,,Jul 17 2016 1,,,,,2.50,,,,,,
7,0073373907703,,,,1,,,NOW,,,,,LIQUID COCONUT OIL,,,,,,16.00,,,FOZ,,,,Sep  4 2016 1,,,,,2.50,,,,,,
8,0073373907717,,,,1,,,NOW,,,,,PURE JOJOBA OIL,,,,,,4.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.56,,,,,,
9,0073373907707,,,,1,,,NOW,,,,,GRAPE SEED OIL,,,,,,16.00,,,FOZ,,,,Jul 17 2016 1,,,,,2.50,,,,,,
10,0073373907670,,,,1,,,NOW,,,,,AVOCADO OIL REFINED,,,,,,4.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.56,,,,,,
11,0073373907666,,,,1,,,NOW,,,,,APRICOT KERNEL OIL,,,,,,16.00,,,FOZ,,,,Jul 17 2016 1,,,,,2.50,,,,,,
12,0073373907665,,,,1,,,NOW,,,,,APRICOT KERNEL OIL,,,,,,4.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.56,,,,,,
13,0073373907661,,,,1,,,NOW,,,,,ALMOND OIL,,,,,,16.00,,,FOZ,,,,Jul 17 2016 1,,,,,2.50,,,,,,
Positio,,,,UPC,,Facings,,,,Brand,,,,,Long Description,,,,,,Size,,,UOM,,,,,Date,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0073373907660,,,,1,,,NOW,,,,,SWEET ALMOND OIL,,,,,,4.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.56,,,,,,
15,0073373907700,,,,1,,,NOW,,,,,VEGETABLE GLYCERINE,,,,,,16.00,,,FOZ,,,,Jul 17 2016 1,,,,,2.50,,,,,,
16,0073373907695,,,,1,,,NOW,,,,,VEGETABLE GLYCERINE,,,,,,4.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.56,,,,,,
17,0005138191402,,,,1,,,AURA CACIA,,,,,OIL-VEGETABLE GLYCERIN-ORG,,,,,,16.00,,,FOZ,,,,Jul 17 2016 1,,,,,2.45,,,,,,
18,0005138191400,,,,1,,,AURA CACIA,,,,,OIL-VEGETABLE GLYCERIN-ORG,,,,,,4.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.55,,,,,,
19,0005138191405,,,,1,,,AURA CACIA,,,,,OIL-CASTOR-ORGANIC,,,,,,16.00,,,FOZ,,,,Jul 17 2016 1,,,,,2.45,,,,,,
20,0005138191403,,,,1,,,AURA CACIA,,,,,OIL-CASTOR-ORGANIC,,,,,,4.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.55,,,,,,
21,0005138191174,,,,1,,,AURA CACIA,,,,,GRAPESEED MASSAGE OIL,,,,,,16.00,,,FOZ,,,,Jul 17 2016 1,,,,,2.45,,,,,,
22,0005138191171,,,,1,,,AURA CACIA,,,,,GRAPESEED MASSAGE OIL,,,,,,4.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.55,,,,,,
23,0005138191145,,,,1,,,AURA CACIA,,,,,OIL-SWEET ALMOND,,,,,,16.00,,,FOZ,,,,Jul 17 2016 1,,,,,2.45,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 8.00"",   Product: 3' 11.78""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0073373907595,,,,1,,,NOW,,,,,OIL-ROSE HIP SEED,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
2,0073373907577,,,,1,,,NOW,,,,,OIL OF OREGANO,,,,,,1.00,,,FOZ,,,,,,,,,1.30,,,,,,
3,0073373907734,,,,1,,,NOW,,,,,OIL-ARGAN-ORGANIC,,,,,,2.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.55,,,,,,
4,0073373907546,,,,1,,,NOW,,,,,ESSENTIAL OIL-EUCALYPTUS,,,,,,4.00,,,OZ,,,,Jul 17 2016 1,,,,,1.95,,,,,,
5,0073373907561,,,,1,,,NOW,,,,,LAVENDER OIL,,,,,,4.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.95,,,,,,
6,0073373907569,,,,1,,,NOW,,,,,LEMON ESSENTIAL OIL,,,,,,4.00,,,FOZ,,,,Aug 28 2016 1,,,,,1.95,,,,,,
7,0073373907586,,,,1,,,NOW,,,,,PEPPERMINT OIL,,,,,,4.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.95,,,,,,
8,0073373907578,,,,1,,,NOW,,,,,ORANGE ESSENTIAL OIL,,,,,,4.00,,,FOZ,,,,Aug 28 2016 1,,,,,1.95,,,,,,
9,0073373907626,,,,1,,,NOW,,,,,TEA TREE OIL,,,,,,4.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.95,,,,,,
10,0071833433175,,,,1,,,DESERT ESSENCE,,,,,ESSENTIAL OIL-ORG-DREAM WEAVER,,,,,,0.50,,,FOZ,,,,,,,,,1.10,,,,,,
11,0071833433177,,,,1,,,DESERT ESSENCE,,,,,ESSENTIAL OIL-ORG-INNER PEACH,,,,,,0.50,,,FOZ,,,,,,,,,1.10,,,,,,
12,0071833433179,,,,1,,,DESERT ESSENCE,,,,,ESSENTIAL OIL-ORG-MOOD LIFTER,,,,,,0.50,,,FOZ,,,,,,,,,1.10,,,,,,
13,0071833433181,,,,1,,,DESERT ESSENCE,,,,,ESSENTIAL OIL-ORG-SHARP THOUGHT,,,,,,0.50,,,FOZ,,,,,,,,,1.10,,,,,,
14,0071833433183,,,,1,,,DESERT ESSENCE,,,,,ESSENTIAL OIL-ORG-MUSCLE MEND,,,,,,0.50,,,FOZ,,,,,,,,,1.10,,,,,,
15,0071833433185,,,,1,,,DESERT ESSENCE,,,,,ESSENTIAL OIL-ORG-BREATHE DEEPLY,,,,,,0.50,,,FOZ,,,,,,,,,1.10,,,,,,
16,0071833433132,,,,1,,,DESERT ESSENCE,,,,,OIL-MORINGA JOJOBA & ROSE HIP,,,,,,2.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.80,,,,,,
17,0071833433131,,,,1,,,DESERT ESSENCE,,,,,OIL-COCONUT-JOJOBA & PURE COFFEE,,,,,,4.00,,,FOZ,,,,Jul 17 2016 1,,,,,2.25,,,,,,
18,0071833433130,,,,1,,,DESERT ESSENCE,,,,,OIL-COCONUT-JOJOBA-ORGANIC,,,,,,4.00,,,FOZ,,,,Jul 17 2016 1,,,,,2.25,,,,,,
19,0071833422005,,,,1,,,DESERT ESSENCE,,,,,OIL-100 PERCENT PURE-JOJOBA,,,,,,2.00,,,OZ,,,,Jul 17 2016 1,,,,,1.75,,,,,,
20,0071833422007,,,,1,,,DESERT ESSENCE,,,,,OIL-JOJOBA,,,,,,4.00,,,OZ,,,,Jul 17 2016 1,,,,,2.15,,,,,,
21,0007679101008,,,,1,,,HOBE LABS,,,,,OIL-SWEET ALMOND,,,,,,4.00,,,OZ,,,,Jul 17 2016 1,,,,,2.15,,,,,,
22,0007679101009,,,,1,,,HOBE LABS,,,,,OIL-APRICOT KERNEL,,,,,,4.00,,,OZ,,,,Jul 17 2016 1,,,,,2.15,,,,,,
23,0007679101010,,,,1,,,HOBE LABS,,,,,OIL-AVOCADO,,,,,,4.00,,,OZ,,,,Jul 17 2016 1,,,,,2.15,,,,,,
24,0007679101011,,,,1,,,HOBE LABS,,,,,OIL-GRAPESEED,,,,,,4.00,,,OZ,,,,Jul 17 2016 1,,,,,2.15,,,,,,
Positio,,,,UPC,,Facings,,,,Brand,,,,,Long Description,,,,,,Size,,,UOM,,,,,Date,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0007679101012,,,,1,,,HOBE LABS,,,,,OIL-SESAME,,,,,,4.00,,,OZ,,,,Jul 17 2016 1,,,,,2.15,,,,,,
26,0007679101007,,,,1,,,HOBE LABS,,,,,OIL-ORGANIC-JOJOBA,,,,,,4.00,,,OZ,,,,Jul 17 2016 1,,,,,2.15,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 5.50"",   Depth: 1' 8.00"",   Product: 3' 11.88""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0073373907518,,,,1,,,NOW,,,,,BERGAMOT OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
2,0073373907525,,,,1,,,NOW,,,,,CEDARWOOD OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
3,0073373907530,,,,1,,,NOW,,,,,CINNAMON OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
4,0073373907535,,,,1,,,NOW,,,,,CITRONELLA OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
5,0073373907540,,,,1,,,NOW,,,,,CLOVE OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
6,0073373907545,,,,1,,,NOW,,,,,ESSENTIAL OIL-EUCALYPTUS,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
7,0073373907548,,,,1,,,NOW,,,,,FRANKINSENSE OIL BLEND,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
8,0073373907552,,,,1,,,NOW,,,,,EGYPTIAN GERANIUM OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
9,0073373907550,,,,1,,,NOW,,,,,PURE GINGER OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
10,0073373907553,,,,1,,,NOW,,,,,GRAPEFRUIT OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
11,0073373907555,,,,1,,,NOW,,,,,JASMINE OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
12,0073373907560,,,,1,,,NOW,,,,,ESSENTIAL OIL-LAVENDER,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
13,0073373907565,,,,1,,,NOW,,,,,LEMON OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
14,0073373907582,,,,1,,,NOW,,,,,LEMONGRASS OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
15,0073373907570,,,,1,,,NOW,,,,,ORANGE OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
16,0073373907573,,,,1,,,NOW,,,,,OREGANO OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
17,0073373907575,,,,1,,,NOW,,,,,PATCHOULI OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
18,0073373907585,,,,1,,,NOW,,,,,ESSENTIAL OIL-PEPPERMINT,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
19,0073373907590,,,,1,,,NOW,,,,,PINE OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
20,0073373907597,,,,1,,,NOW,,,,,ROSE ABSOLUTE,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
21,0073373907600,,,,1,,,NOW,,,,,ROSEMARY OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
22,0073373907620,,,,1,,,NOW,,,,,SPEARMINT OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
23,0073373907623,,,,1,,,NOW,,,,,TANGERINE OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
24,0073373907625,,,,1,,,NOW,,,,,TEA TREE OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
25,0073373907410,,,,1,,,NOW,,,,,OIL-EUCALYPTUS-ORGANIC,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
26,0073373907430,,,,1,,,NOW,,,,,OIL-LAVENDER-ORGANIC,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
27,0073373907470,,,,1,,,NOW,,,,,OIL-TEA TREE-ORGANIC,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
28,0073373907630,,,,1,,,NOW,,,,,ESSENTIAL OIL-BOTTLED BOUQUET,,,,,,1.00,,,FOZ,,,,Sep 11 2016 1,,,,,1.30,,,,,,
29,0073373907604,,,,1,,,NOW,,,,,CHEER UP BUTTERCUP OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
30,0073373907605,,,,1,,,NOW,,,,,CLEAR THE AIR OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
31,0073373907631,,,,1,,,NOW,,,,,ESSENTIAL OIL-MORNING SUNSHINE,,,,,,1.00,,,FOZ,,,,Sep 11 2016 1,,,,,1.30,,,,,,
32,0073373907606,,,,1,,,NOW,,,,,MENTAL FOCUS OIL,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.30,,,,,,
Positio,,,,UPC,,Facings,,,,Brand,,,,,Long Description,,,,,,Size,,,UOM,,,,,Date,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0073373907612,1,NOW,NATURES SHIELD ESSENTIAL OIL,1.00,FOZ,
34,0073373907634,1,NOW,ESSENTIAL OIL-PEACE LOVE & FLOWERS,1.00,FOZ,
35,0073373907607,1,NOW,PEACEFUL SLEEP OIL,1.00,FOZ,
36,0073373907633,1,NOW,ESSENTIAL OIL-SMILES FOR MILES,1.00,FOZ,
Totals:,,,
"Shelf: 5,   Length: 4' 0.00"",    Height: 0' 5.00"",   Depth: 1' 8.00"",   Product: 3' 11.85""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0072607850340,,,,1,,,WINDROSE,,,,,TRANQUILITY INCENSE BURNER,,,,,,1.00,,,EA,,,,,,,,,3.50,,,,,,
2,0072607850940,,,,1,,,WINDROSE,,,,,CELTIC CERAMIC INCENSE STAND,,,,,,1.00,,,EA,,,,Jul 17 2016 1,,,,,2.18,,,,,,
3,0072607850235,,,,1,,,WINDROSE,,,,,LUCKY ELEPHANTS SOAPSTONE INCENSE HO,,,,,,1.00,,,EA,,,,Jul 17 2016 1,,,,,3.43,,,,,,
4,0072607850835,,,,1,,,TRILOKA,,,,,DIFFUSER-MAGIC BEANSTALK,,,,,,1.00,,,EA,,,,,,,,,2.60,,,,,,
5,0072607850836,,,,1,,,WINDROSE,,,,,DIFFUSER-SUNFACE W/ VINE,,,,,,1.00,,,EA,,,,,,,,,2.60,,,,,,
6,0072607850359,,,,1,,,TRILOKA,,,,,OM MINI DIFFUSER,,,,,,1.00,,,EA,,,,Jul 17 2016 1,,,,,2.82,,,,,,
7,0003062950510,,,,1,,,WINDROSE,,,,,TEALIGHT CANDLES 10PK,,,,,,1.00,,,CNT,,,,Jul 17 2016 1,,,,,3.10,,,,,,
8,0072607810334,,,,1,,,WINDROSE,,,,,NAG CHAMPA CONES,,,,,,1.00,,,EA,,,,Jul 17 2016 1,,,,,2.75,,,,,,
9,0005052555501,,,,1,,,SAI BABA,,,,,INCENSE-NAG CHAMPA 15 GR 2015,,,,,,15.00,,,GM,,,,Jul 17 2016 1,,,,,8.63,,,,,,
10,0005052555503,,,,1,,,SAI BABA,,,,,INCENSE-NAG CHAMPA 40 GR 2015,,,,,,40.00,,,GM,,,,Jul 17 2016 1,,,,,8.63,,,,,,
11,0005052555505,,,,1,,,SAI BABA,,,,,INCENSE-NAG CHAMPA,,,,,,100.00,,,GM,,,,Jul 17 2016 1,,,,,9.00,,,,,,
12,0072607810104,,,,1,,,WINDROSE,,,,,GOLOKA NAGCHAMPA,,,,,,16.00,,,GM,,,,Jul 17 2016 1,,,,,8.63,,,,,,
13,0072607810268,,,,1,,,WINDROSE,,,,,GOLOKA NAGCHAMPA AGARBATHI,,,,,,1.00,,,EA,,,,Jul 17 2016 1,,,,,8.63,,,,,,
14,0072607810266,,,,1,,,WINDROSE,,,,,SHRINIVAS SUGANDHALAYA SUPER HIT INC,,,,,,15.00,,,GM,,,,Jul 17 2016 1,,,,,8.63,,,,,,
15,0072607810270,,,,1,,,WINDROSE,,,,,SUPER HIT INCENSE,,,,,,40.00,,,GM,,,,Jul 17 2016 1,,,,,8.63,,,,,,
16,0072607810127,,,,1,,,WINDROSE,,,,,TARA HEALING INCENSE,,,,,,1.00,,,EA,,,,Jul 17 2016 1,,,,,5.90,,,,,,
17,0072607810308,,,,1,,,WINDROSE,,,,,THREE KINGS CHARCOAL,,,,,,1.00,,,EA,,,,Jul 17 2016 1,,,,,6.60,,,,,,
18,0007697063250,,,,1,,,HERITAGE STORE,,,,,AURA SMUDGE,,,,,,4.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.95,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 6,   Length: 4' 0.00"",    Height: 1' 0.00"",   Depth: 1' 8.00"",   Product: 0' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
