Project Type: Reset 09/17/2018 Buyer: Danielle Minchella x643 Analyst: Megan McDermott x322,,,,,,,,,,,,,"10/16/2018
HBA Department
30785 Hair Care-12' H-Released Option A",,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 1' 2.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,"Shelf 15:  Height 1' 2.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,"Shelf 22:  Height 1' 2.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,
"Shelf 7:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,"Shelf 14:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,"Shelf 21:  Height 0' 8.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,
"Shelf 6:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 13:  Height 0' 8.50"", Length 4' 0.00"", Depth 1' 1.00""                               Shelf 20:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 12:  Height 0' 10.50"", Length 4' 0.00"", Depth 1' 1.00""                             Shelf 19:  Height 0' 10.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,"Shelf 11:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,"Shelf 18:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,
"Shelf 2:  Height 0' 8.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,"Shelf 10:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,"Shelf 17:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,
"Shelf 1:  Height 0' 8.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,"Shelf 9:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,"Shelf 16:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,
"Location(s):
Notes:",,,,,,,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 13",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,First,,,,Product,,,
Positio,,,UPC,,,Facings,,,,Brand,,,,,,Long Description,,,,Size,,,,UOM,,,Date,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 4' 0.00"",    Height: 0' 8.50"",   Depth: 1' 1.00"",   Product: 3' 11.93""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0066618365213,,,,1,,,THERANEEM,,,,,,LICE & NIT KIT-TREATMENT-KIDS,,,,,1.00,,,,KIT,,,,,,4.95,,,,,
2,0066618300055,,,,1,,,THERANEEM,,,,,,SHAMPOO-SCALP THERAPY,,,,,12.00,,,,FOZ,,,,,,2.20,,,,,
3,0066618300007,,,,1,,,THERANEEM,,,,,,SHAMPOO-GENTLE FORMULA,,,,,12.00,,,,FOZ,,,,,,2.20,,,,,
4,0085829300232,,,,1,,,SEAWEED BATH CO.,,,,,,SHAMPOO-ARGAN-BALANCING-EUCALYPTUS,,,,,12.00,,,,FOZ,,,,,,2.15,,,,,
5,0085829300245,,,,1,,,SEAWEED BATH CO.,,,,,,CONDITIONER-BALANCING-EUCALYPTUS,,,,,12.00,,,,FOZ,,,,,,2.15,,,,,
6,0080918310005,,,,1,,,ORGANIC EXCELLENCE,,,,,,SHAMPOO-WILD MINT,,,,,16.00,,,,FOZ,,,,,,2.45,,,,,
7,0080918310006,,,,1,,,ORGANIC EXCELLENCE,,,,,,CONDITIONER-WILD MINT,,,,,16.00,,,,FOZ,,,,,,2.45,,,,,
8,0005498617300,,,,1,,,EARTH SCIENCE,,,,,,SHAMPOO-CERAMIDE CARE-FRAGRANCE FREE,,,,,10.00,,,,FOZ,,,,,,1.95,,,,,
9,0005498617350,,,,1,,,EARTH SCIENCE,,,,,,CONDITIONER-CERAMIDE CARE-FRAG FREE,,,,,10.00,,,,FOZ,,,,,,1.95,,,,,
10,0005498617491,,,,1,,,EARTH SCIENCE,,,,,,SHAMPOO-OLIVE & AVACADO-DP CONDITION,,,,,6.00,,,,FOZ,,,,,,2.85,,,,,
11,0005498617500,,,,1,,,EARTH SCIENCE,,,,,,MASQUE-DEEP CONDITION-OLIVE AVOCADO,,,,,6.00,,,,OZ,,,,,,2.85,,,,,
12,0003098508730,,,,1,,,DERMA-E,,,,,,SHAMPOO-SCALP RELIEF,,,,,8.00,,,,FOZ,,,,,,3.00,,,,,
13,0003098508740,,,,1,,,DERMA-E,,,,,,CONDITIONER-SCALP RELIEF,,,,,8.00,,,,FOZ,,,,,,3.00,,,,,
14,0007852210030,,,,1,,,JASON,,,,,,SHAMPOO-DANDRUFF RELIEF,,,,,12.00,,,,FOZ,,,,,,3.00,,,,,
15,0007852210029,,,,1,,,JASON,,,,,,SHAMPOO & CONDITIONER-DANDRUFF RELF,,,,,12.00,,,,FOZ,,,,,,3.00,,,,,
16,0007852200064,,,,1,,,JASON,,,,,,STYLING GEL-HI SHINE,,,,,6.00,,,,OZ,,,,,,2.90,,,,,
17,0007852200046,,,,1,,,JASON,,,,,,HAIR SPRAY-THIN OR THICK,,,,,8.00,,,,FOZ,,,,,,1.90,,,,,
18,0007852200042,,,,1,,,JASON,,,,,,SHAMPOO-THIN TO THICK,,,,,8.00,,,,FOZ,,,,,,1.90,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 8.50"",   Depth: 1' 1.00"",   Product: 3' 11.93""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0007701410008,,,,1,,,LIGHT MOUNTAIN NATURAL,,,,,,HAIR COLOR-HENNA-BLACK,,,,,4.00,,,,OZ,,,,,,4.10,,,,,
2,0004934700375,,,,1,,,LIGHT MOUNTAIN NATURAL,,,,,,HAIR COLOR-HENNA-DARK BROWN,,,,,4.00,,,,OZ,,,,,,4.10,,,,,
3,0007701410003,,,,1,,,LIGHT MOUNTAIN NATURAL,,,,,,HAIR COLOR-HENNA-RED,,,,,4.00,,,,OZ,,,,,,4.10,,,,,
4,0084132010751,,,,1,,,EVERYDAY COCONUT,,,,,,OIL-COCONUT,,,,,11.00,,,,OZ,,,,,,3.65,,,,,
5,0084132010740,,,,1,,,EVERYDAY COCONUT,,,,,,SPRAY-TEXTURE-VOLUMIZING SEA SALT,,,,,12.00,,,,FOZ,,,,,,2.65,,,,,
6,0008173831371,,,,1,,,SHIKAI,,,,,,HAIR SPRAY-MAX HOLD-COLOR REFLECT,,,,,8.00,,,,OZ,,,,,,1.95,,,,,
7,0008173831361,,,,1,,,SHIKAI,,,,,,CONDITIONER-MIST & GO-COLOR REFLECT,,,,,8.00,,,,FOZ,,,,,,2.30,,,,,
8,0008173831362,,,,1,,,SHIKAI,,,,,,CONDITIONER-INTENSIVE REPAIR,,,,,5.00,,,,FOZ,,,,,,2.94,,,,,
9,0008173831353,,,,1,,,SHIKAI,,,,,,SHAMPOO-PLATINUM-COLOR REFLECT,,,,,8.00,,,,FOZ,,,,,,2.95,,,,,
10,0008173831360,,,,1,,,SHIKAI,,,,,,CONDITIONER-DAILY MOISTURE,,,,,8.00,,,,FOZ,,,,,,2.95,,,,,
11,0008173831352,,,,1,,,SHIKAI,,,,,,SHAMPOO-GOLD-COLOR REFLECT,,,,,8.00,,,,FOZ,,,,,,2.95,,,,,
12,0008173831354,,,,1,,,SHIKAI,,,,,,SHAMPOO-WARM-COLOR REFLECT,,,,,8.00,,,,FOZ,,,,,,2.95,,,,,
13,0008173831351,,,,1,,,SHIKAI,,,,,,SHAMPOO-DEEP-COLOR REFLECT,,,,,8.00,,,,FOZ,,,,,,2.95,,,,,
Positio,,,,UPC,,,Facings,,,,Brand,,,,,,Long Description,,,,Size,,,,UOM,,,Date,,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0008173830301,,,,1,,,SHIKAI,,,,,,SHAMPOO-EVERYDAY,,,,,12.00,,,,FOZ,,,,,,2.15,,,,,
15,0008173830305,,,,1,,,SHIKAI,,,,,,CONDITIONER-EVERYDAY,,,,,12.00,,,,FOZ,,,,,,2.15,,,,,
16,0008173830308,,,,1,,,SHIKAI,,,,,,SHAMPOO-TEA TREE,,,,,12.00,,,,FOZ,,,,,,2.15,,,,,
17,0008173830309,,,,1,,,SHIKAI,,,,,,CONDITIONER-TEA TREE,,,,,12.00,,,,FOZ,,,,,,2.15,,,,,
18,0008173830306,,,,1,,,SHIKAI,,,,,,SHAMPOO-HENNA GOLD HIGHLIGHTING,,,,,12.00,,,,FOZ,,,,,,2.15,,,,,
19,0008173830307,,,,1,,,SHIKAI,,,,,,CONDITIONER-HENNA GOLD HIGHLIGHTING,,,,,12.00,,,,FOZ,,,,,,2.15,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 1.00"",   Product: 3' 11.98""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0789654472031,,,,1,,,SURYA BRASIL,,,,,,HENNA CREAM-BLACK,,,,,2.37,,,,FOZ,,,,,,2.65,,,,,
2,0789654472034,,,,1,,,SURYA BRASIL,,,,,,HENNA CREAM-CHOCOLATE,,,,,2.37,,,,FOZ,,,,,,2.65,,,,,
3,0789654472024,,,,1,,,SURYA BRASIL,,,,,,HENNA CREAM-DARK BROWN,,,,,2.37,,,,FOZ,,,,,,2.65,,,,,
4,0789654472023,,,,1,,,SURYA BRASIL,,,,,,HENNA CREAM-LIGHT BROWN,,,,,2.37,,,,FOZ,,,,,,2.65,,,,,
5,0789654472025,,,,1,,,SURYA BRASIL,,,,,,HENNA CREAM-GOLDEN BROWN,,,,,2.37,,,,FOZ,,,,,,2.65,,,,,
6,0789654472027,,,,1,,,SURYA BRASIL,,,,,,HENNA CREAM-GOLDEN BLONDE,,,,,2.37,,,,FOZ,,,,,,2.65,,,,,
7,0789654472026,,,,1,,,SURYA BRASIL,,,,,,HENNA CREAM-ASH BLONDE,,,,,2.37,,,,FOZ,,,,,,2.65,,,,,
8,0789654472030,,,,1,,,SURYA BRASIL,,,,,,HENNA CREAM-RED,,,,,2.37,,,,FOZ,,,,,,2.65,,,,,
9,0789654472033,,,,1,,,SURYA BRASIL,,,,,,HENNA CREAM-MAHOGANY,,,,,2.37,,,,FOZ,,,,,,2.65,,,,,
10,0789654472037,,,,1,,,SURYA BRASIL,,,,,,HENNA CREAM-BURGUNDY,,,,,2.37,,,,FOZ,,,,,,2.65,,,,,
11,0070432642499,,,,1,,,TINTS OF NATURE,,,,,,HENNA-CREAM-BLACK,,,,,2.46,,,,FOZ,,,,,,2.55,,,,,
12,0070432642519,,,,1,,,TINTS OF NATURE,,,,,,HENNA-CREAM-CHOCOLATE,,,,,2.46,,,,FOZ,,,,,,2.55,,,,,
13,0070432642509,,,,1,,,TINTS OF NATURE,,,,,,HENNA-CREAM-DARK BROWN,,,,,2.46,,,,FOZ,,,,,,2.55,,,,,
14,0070432642539,,,,1,,,TINTS OF NATURE,,,,,,HENNA-CREAM-LIGHT BROWN,,,,,2.46,,,,FOZ,,,,,,2.55,,,,,
15,0070432642529,,,,1,,,TINTS OF NATURE,,,,,,HENNA-CREAM-GOLDEN BROWN,,,,,2.46,,,,FOZ,,,,,,2.55,,,,,
16,0070432642579,,,,1,,,TINTS OF NATURE,,,,,,HENNA-CREAM-RED,,,,,2.46,,,,FOZ,,,,,,2.55,,,,,
17,0070432642569,,,,1,,,TINTS OF NATURE,,,,,,HENNA-CREAM-MAHOGANY RED,,,,,2.46,,,,FOZ,,,,,,2.55,,,,,
18,0070432642559,,,,1,,,TINTS OF NATURE,,,,,,HENNA-CREAM-BURGUNDY,,,,,2.46,,,,FOZ,,,,,,2.55,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 1.00"",   Product: 3' 11.97""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0070432610010,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-1N-NATURAL BLACK,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
2,0070432610020,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-2N-NATURAL DARKEST BROWN,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
3,0070432610030,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-3N-NATURAL DRK BROWN,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
4,0070432610040,,,,2,,,TINTS OF NATURE,,,,,,HAIR COLOUR-4N-MATURAL MED BROWN,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
5,0070432610120,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-4M-MED MAHOGANY BRN,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
6,0070432610212,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-4CH-RICH CHOCOLATE BRN,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
Positio,,,,UPC,,,Facings,,,,Brand,,,,,,Long Description,,,,Size,,,,UOM,,,Date,,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0070432610050,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-5N-NATURAL LIGHT BROWN,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
8,0070432610100,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-5D-LT GOLDEN BROWN,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
9,0070432610180,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-5R-RICH COPPER BROWN,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
10,0070432610060,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-6N-NATURAL DK BLONDE,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
11,0070432610070,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-7N-NATURAL MED BLONDE,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
12,0070432610080,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-8N-NATURAL LIGHT BLONDE,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 1.00"",   Product: 3' 11.97""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0066117601012,,,,1,,,NATURTINT,,,,,,HAIR COLOR-8G-SANDY GOLDEN BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
2,0066117601005,,,,1,,,NATURTINT,,,,,,HAIR COLOR-7N-HAZELNUT BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
3,0066117601010,,,,1,,,NATURTINT,,,,,,HAIR COLOR-6G-DARK GOLD BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
4,0066117601011,,,,1,,,NATURTINT,,,,,,HAIR COLOR-7G-GOLDEN BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
5,0066117601013,,,,1,,,NATURTINT,,,,,,HAIR COLOR-4M-MOHAGANY CHESTNUT,,,,,1.00,,,,EA,,,,,,3.50,,,,,
6,0066117601014,,,,1,,,NATURTINT,,,,,,HAIR COLOR-5M-LT MOHAGANY CHESTNUT,,,,,1.00,,,,EA,,,,,,3.50,,,,,
7,0066117601018,,,,1,,,NATURTINT,,,,,,HAIR COLOR-9R-FIRE RED,,,,,1.00,,,,EA,,,,,,3.50,,,,,
8,0066117601016,,,,1,,,NATURTINT,,,,,,HAIR COLOR-7C-TERRACOTTA BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
9,0066117601017,,,,1,,,NATURTINT,,,,,,HAIR COLOR-8C-COPPER BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
10,0066117601019,,,,1,,,NATURTINT,,,,,,HAIR COLOR-8A-ASH BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
11,0066117601006,,,,1,,,NATURTINT,,,,,,HAIR COLOR-8N-WHEAT GERM BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
12,0066117601007,,,,1,,,NATURTINT,,,,,,HAIR COLOR-9N-HONEY BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
13,0066117601008,,,,1,,,NATURTINT,,,,,,HAIR COLOR-10N-LIGHT DAWN BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 6,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 1.00"",   Product: 3' 11.97""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0066117601001,,,,1,,,NATURTINT,,,,,,HAIR COLOR-1N-EBONY BLACK,,,,,1.00,,,,EA,,,,,,3.50,,,,,
2,0066117601132,,,,2,,,NATURTINT,,,,,,HAIR COLOR-2N-BLACK BROWN,,,,,1.00,,,,EA,,,,,,3.50,,,,,
3,0066117601002,,,,2,,,NATURTINT,,,,,,HAIR COLOR-3N-DARK CHESTNUT BROWN,,,,,1.00,,,,EA,,,,,,3.50,,,,,
4,0066117601090,,,,2,,,NATURTINT,,,,,,HAIR COLOR-4N-NATURAL CHESTNUT,,,,,1.00,,,,EA,,,,,,3.50,,,,,
5,0066117601003,,,,2,,,NATURTINT,,,,,,HAIR COLOR-5N-LIGHT CHESTNUT BROWN,,,,,1.00,,,,EA,,,,,,3.50,,,,,
6,0066117601091,,,,1,,,NATURTINT,,,,,,HAIR COLOR-4G-GOLDEN CHESTNUT,,,,,1.00,,,,EA,,,,,,3.50,,,,,
7,0066117601009,,,,2,,,NATURTINT,,,,,,HAIR COLOR-5G-LIGHT GOLD CHESTNUT,,,,,1.00,,,,EA,,,,,,3.50,,,,,
8,0066117601004,,,,1,,,NATURTINT,,,,,,HAIR COLOR-6N-DARK BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positio,,,,UPC,,,Facings,,,,Brand,,,,,,Long Description,,,,Size,,,,UOM,,,Date,,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 7,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 1.00"",   Product: 3' 11.99""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0400163809563,,,,1,,,WELEDA,,,,,,ROSEMARY CONDITIONING HAIR OIL,,,,,1.70,,,,FOZ,,,,,,1.95,,,,,
2,0063408431001,,,,1,,,BADGER BALM,,,,,,ARGAN HAIR OIL FOR DRY DAMAGED HAIR,,,,,2.00,,,,FOZ,,,,,,1.60,,,,,
3,0063408431002,,,,1,,,BADGER BALM,,,,,,JOJOBA HAIR OIL FOR DRY SCALP,,,,,2.00,,,,FOZ,,,,,,1.60,,,,,
4,0001878798001,,,,1,,,DR BRONNERS,,,,,,HAIR CREME-ORG-LAVENDER COCONUT,,,,,6.00,,,,FOZ,,,,,,1.75,,,,,
5,0001878798002,,,,1,,,DR BRONNERS,,,,,,HAIR CREME-ORG-PEPPERMINT,,,,,6.00,,,,FOZ,,,,,,1.75,,,,,
6,0007834740008,,,,1,,,WILD,,,,,,SPRAY-SEA SALT-SAGE & SANDLEWOOD,,,,,4.00,,,,FOZ,,,,,,1.90,,,,,
7,0007834740007,,,,1,,,WILD,,,,,,CONDITIONER-LEAVE-IN-SAGE & SANDLWD,,,,,4.00,,,,FOZ,,,,,,1.90,,,,,
8,0007834740005,,,,1,,,WILD,,,,,,SHAMPOO-SAGE & SANDALWOOD,,,,,16.00,,,,FOZ,,,,,,2.75,,,,,
9,0007834740006,,,,1,,,WILD,,,,,,CONDITIONER-SAGE & SANDALWOOD,,,,,16.00,,,,FOZ,,,,,,2.75,,,,,
10,0007834740001,,,,1,,,WILD,,,,,,SHAMPOO-ROSEMARY & LEMONGRASS,,,,,16.00,,,,FOZ,,,,,,2.75,,,,,
11,0007834740002,,,,1,,,WILD,,,,,,CONDITIONER-ROSEMARY & LEMONGRASS,,,,,16.00,,,,FOZ,,,,,,2.75,,,,,
12,0007834740003,,,,1,,,WILD,,,,,,SHAMPOO-ROSE & THYME,,,,,16.00,,,,FOZ,,,,,,2.75,,,,,
13,0007834740004,,,,1,,,WILD,,,,,,CONDITIONER-ROSE & THYME,,,,,16.00,,,,FOZ,,,,,,2.75,,,,,
14,0071833433354,,,,1,,,DESERT ESSENCE,,,,,,MASK-HAIR-ANTI-BREAKAGE,,,,,5.10,,,,FOZ,,,,,,2.95,,,,,
15,0071833433350,,,,1,,,DESERT ESSENCE,,,,,,SHAMPOO-ANTI-BREAKAGE,,,,,10.00,,,,FOZ,,,,,,3.25,,,,,
16,0071833433352,,,,1,,,DESERT ESSENCE,,,,,,CONDITIONER-ANTI-BREAKAGE,,,,,10.00,,,,FOZ,,,,,,3.25,,,,,
17,0071833433325,,,,1,,,DESERT ESSENCE,,,,,,SHAMPOO-SMOOTHING,,,,,10.00,,,,FOZ,,,,,,3.25,,,,,
18,0071833433327,,,,1,,,DESERT ESSENCE,,,,,,CONDITIONER-SMOOTHING,,,,,10.00,,,,FOZ,,,,,,3.25,,,,,
