Project Type: STS 05/21/2018 Buyer: Abby Mullen x324 Analyst: Tim Esch x596,,,,,,,,,,,,,,"9/21/2018
Vitamin Department
30219 Herbal Capsules-Extracts-Teas-12'L-Released",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,"Shelf 16:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,"Shelf 24:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,"Shelf 15:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,"Shelf 23:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,"Shelf 14:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,"Shelf 22:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,"Shelf 13:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,"Shelf 21:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,"Shelf 12:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,"Shelf 20:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,"Shelf 11:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,"Shelf 19:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,"Shelf 10:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,"Shelf 18:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,"Shelf 9:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,"Shelf 17:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,
Location(s): CA Notes:,,,,,,,,,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First,,,,,,Product,,,,
Positio,,,UPC,,,,Facings,,,Brand,,,,,,,,Long Description,,,,,,Size,,,,,UOM,,,,Date,,,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 1.00"",   Product: 3' 11.88""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0002743403799,,,,1,,,ALVITA TEAS,,,,,,,,TEA-ORG-HERBAL-CHAMOMILE,,,,,,24.00,,,,BAG,,,,,Jun  5 2016 1,,,,,,3.35,,,,,
2,,0002743403816,,,,2,,,ALVITA TEAS,,,,,,,,TEA-ORG-HERBAL-DANDELION ROOT,,,,,,24.00,,,,BAG,,,,,Jun  5 2016 1,,,,,,3.35,,,,,
3,,0002743403804,,,,1,,,ALVITA TEAS,,,,,,,,TEA-ORG-HERBAL-FENNEL,,,,,,24.00,,,,BAG,,,,,Jun  5 2016 1,,,,,,3.35,,,,,
4,,0002743403806,,,,1,,,ALVITA TEAS,,,,,,,,TEA-ORG-HERBAL-FENUGREEK,,,,,,24.00,,,,BAG,,,,,Jun  5 2016 1,,,,,,3.35,,,,,
5,,0002743403822,,,,1,,,ALVITA TEAS,,,,,,,,TEA-ORG-HERBAL-GINGER-PEPPERMINT,,,,,,24.00,,,,BAG,,,,,Jun  5 2016 1,,,,,,3.35,,,,,
6,,0002743403803,,,,2,,,ALVITA TEAS,,,,,,,,TEA-ORG-HERBAL-NETTLE,,,,,,24.00,,,,BAG,,,,,Jun  5 2016 1,,,,,,3.35,,,,,
7,,0002743403800,,,,1,,,ALVITA TEAS,,,,,,,,TEA-ORG-HERBAL-RED C LOVER,,,,,,24.00,,,,BAG,,,,,Jun  5 2016 1,,,,,,3.35,,,,,
8,,0002743403818,,,,1,,,ALVITA TEAS,,,,,,,,TEA-ORG-HERBAL-RASPBERRY,,,,,,24.00,,,,BAG,,,,,Jun  5 2016 1,,,,,,3.35,,,,,
9,,0002743403819,,,,1,,,ALVITA TEAS,,,,,,,,TEA-ORG-HERBAL-SAGE,,,,,,24.00,,,,BAG,,,,,Jun  5 2016 1,,,,,,3.35,,,,,
10,,0002743403801,,,,1,,,ALVITA TEAS,,,,,,,,TEA-ORG-HERBAL-SENNA,,,,,,24.00,,,,BAG,,,,,Jun  5 2016 1,,,,,,3.35,,,,,
11,,0002743403919,,,,1,,,ALVITA TEAS,,,,,,,,TEA-ORG-HERBAL-TURMERIC ROOT,,,,,,24.00,,,,BAG,,,,,Jun  5 2016 1,,,,,,3.35,,,,,
12,,0002743403820,,,,1,,,ALVITA TEAS,,,,,,,,TEA-ORG-HERBAL-VALERIAN ROOT,,,,,,24.00,,,,BAG,,,,,Jun  5 2016 1,,,,,,3.35,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 1.00"",   Product: 4' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0075106314527,,,,1,,,GAIA HERBS,,,,,,,,HERBAL TEA-BRONCHIAL WELLNESS,,,,,,16.00,,,,CNT,,,,,Jun  5 2016 1,,,,,,3.20,,,,,
2,,0075106314532,,,,2,,,GAIA HERBS,,,,,,,,HERBAL TEA-CLEANSE & DETOX,,,,,,16.00,,,,CNT,,,,,Jun  5 2016 1,,,,,,3.20,,,,,
3,,0075106314533,,,,1,,,GAIA HERBS,,,,,,,,HERBAL TEA-DIET SLIM,,,,,,16.00,,,,CNT,,,,,Jun  5 2016 1,,,,,,3.20,,,,,
4,,0075106314686,,,,1,,,GAIA HERBS,,,,,,,,HERBAL TEA-HIBISCUS-ORGANIC,,,,,,16.00,,,,CNT,,,,,Sep 25 2016 1,,,,,,3.20,,,,,
5,,0075106314685,,,,1,,,GAIA HERBS,,,,,,,,HERBAL TEA-ESSENTIAL TULSI-ORGANIC,,,,,,16.00,,,,CNT,,,,,,,,,,,3.20,,,,,
6,,0075106314528,,,,2,,,GAIA HERBS,,,,,,,,HERBAL TEA-GAS & BLOATING,,,,,,16.00,,,,CNT,,,,,Jun  5 2016 1,,,,,,3.20,,,,,
7,,0075106314594,,,,1,,,GAIA HERBS,,,,,,,,HERBAL TEA-LACTATION SUPPORT-ORG,,,,,,16.00,,,,CNT,,,,,,,,,,,3.20,,,,,
8,,0075106314529,,,,1,,,GAIA HERBS,,,,,,,,HERBAL TEA-NATURAL LAXATIVE-ORGANIC,,,,,,16.00,,,,CNT,,,,,Jun  5 2016 1,,,,,,3.20,,,,,
9,,0075106314612,,,,1,,,GAIA HERBS,,,,,,,,HERBAL TEA-LIVER CLEANSE,,,,,,16.00,,,,CNT,,,,,Sep 18 2016 1,,,,,,3.20,,,,,
10,,0075106314613,,,,1,,,GAIA HERBS,,,,,,,,HERBAL TEA-SINUS COMFORT-ORGANIC,,,,,,16.00,,,,CNT,,,,,,,,,,,3.20,,,,,
11,,0075106314530,,,,2,,,GAIA HERBS,,,,,,,,HERBAL TEA-SLEEP & RELAX-ORGANIC,,,,,,16.00,,,,CNT,,,,,Jun  5 2016 1,,,,,,3.20,,,,,
12,,0075106314590,,,,1,,,GAIA HERBS,,,,,,,,HERBAL TEA-THROAT SHIELD-ORGANIC,,,,,,16.00,,,,CNT,,,,,,,,,,,3.20,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 5.50"",   Depth: 1' 1.00"",   Product: 3' 11.97""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0007628001440,,,,1,,,SOLARAY,,,,,,,,PAU D ARCO INNER BARK-510 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.52,,,,,
2,,0007628001480,,,,1,,,SOLARAY,,,,,,,,RED CLOVER-375 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
3,,0007628001490,,,,1,,,SOLARAY,,,,,,,,RED RASPBERRY-400 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
Positio,,,,,UPC,,Facings,,,,,,Brand,,,,,,Long Description,,,,,,Size,,,,,UOM,,,,,Date,,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0007628001510,1,SOLARAY,ROSE HIPS,100.00,CAP,
5,0007628001550,1,SOLARAY,SAW PALMETTO BERRIES-580 MG,100.00,CAP,
6,0007628001551,1,SOLARAY,SAW PALMETTO BERRIES-580 MG,180.00,CAP,
7,0007628001555,1,SOLARAY,SCHIZANDRA BERRIES,100.00,CAP,
8,0007628001560,1,SOLARAY,SKULLCAP,100.00,CAP,
9,0007628001570,1,SOLARAY,SENNA LEAVES-470 MG,100.00,CAP,
10,0007628001590,2,SOLARAY,SLIPPERY ELM BARK-400 MG,100.00,CAP,
11,0007628001553,1,SOLARAY,ST JOHNS WORT,100.00,CAP,
12,0007628054433,1,SOLARAY,TONGKAT ALI 400 MG,60.00,VCP,
13,0007628001630,1,SOLARAY,VALERIAN ROOT-470 MG,100.00,CAP,
14,0007628001650,1,SOLARAY,WHITE OAK BARK,100.00,CAP,
15,0007628001660,1,SOLARAY,WHITE WILLOW BARK-400 MG,100.00,CAP,
16,0007628001670,1,SOLARAY,WILD YAM ROOT-400 MG,100.00,CAP,
17,0007628001690,1,SOLARAY,YARROW,100.00,CAP,
18,0007628001378,1,SOLARAY,MAITAKE MUSHROOM-600 MG,100.00,CAP,
19,0007628001505,1,SOLARAY,REISHI MUSHROOM-600 MG,100.00,CAP,
20,0007628038735,1,SOLARAY,FERMENTED CHAGA 500 MG,60.00,VCP,
21,0007628077193,1,SOLARAY,FERMENTED CORDYCEPS 500 MG,60.00,VCP,
22,0007628015379,1,SOLARAY,ORG GROWN FERMENTED ROYAL AGARICUS,60.00,VCP,
Totals:,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 1.00"",   Product: 3' 11.81""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0007628001275,,,,1,,,SOLARAY,,,,,,,,FEVERFEW LEAVES-380 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
2,,0007628001270,,,,1,,,SOLARAY,,,,,,,,FENUGREEK SEEDS,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
3,,0007628001271,,,,1,,,SOLARAY,,,,,,,,FENUGREEK-620 MG,,,,,,180.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.53,,,,,
4,,0007628001280,,,,1,,,SOLARAY,,,,,,,,FO-TI-610 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
5,,0007628098637,,,,1,,,SOLARAY,,,,,,,,BLACK GARLIC,,,,,,50.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
6,,0007628001289,,,,1,,,SOLARAY,,,,,,,,GARLIC,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
7,,0007628001300,,,,1,,,SOLARAY,,,,,,,,GINGER ROOT-550 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
8,,0007628001312,,,,1,,,SOLARAY,,,,,,,,GINSENG ROOT-KOREAN-550 MG,,,,,,50.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.01,,,,,
9,,0007628001330,,,,1,,,SOLARAY,,,,,,,,GOTU KOLA-450 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
10,,0007628001331,,,,1,,,SOLARAY,,,,,,,,GREEN TEA-450 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
11,,0007628001340,,,,1,,,SOLARAY,,,,,,,,HAWTHORN BERRIES,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
12,,0007628001350,,,,1,,,SOLARAY,,,,,,,,HORSETAIL,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
13,,0007628001360,,,,1,,,SOLARAY,,,,,,,,JUNIPER BERRIES,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
14,,0007628001365,,,,1,,,SOLARAY,,,,,,,,KELP,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
15,,0007628001367,,,,1,,,SOLARAY,,,,,,,,LEMON BALM HERB-395 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.52,,,,,
Positio,,,,,UPC,,Facings,,,,,,Brand,,,,,,Long Description,,,,,,Size,,,,,UOM,,,,,Date,,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,0007628001370,,,,1,,,SOLARAY,,,,,,,,LICORICE-450 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
17,,0007628001376,,,,1,,,SOLARAY,,,,,,,,MACA ROOT-525 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
18,,0007628012627,,,,1,,,SOLARAY,,,,,,,,MOTHERWORT,,,,,,100.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,2.52,,,,,
19,,0007628001390,,,,1,,,SOLARAY,,,,,,,,MULLEIN LEAVES,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
20,,0007628001410,,,,1,,,SOLARAY,,,,,,,,NETTLE LEAVES-450 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
21,,0007628023887,,,,1,,,SOLARAY,,,,,,,,OKRA 400 MG,,,,,,100.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
22,,0007628001415,,,,1,,,SOLARAY,,,,,,,,OREGON GRAPE ROOT,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
23,,0007628001430,,,,1,,,SOLARAY,,,,,,,,PASSION FLOWER-350 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 1.00"",   Product: 3' 11.94""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0007628003355,,,,1,,,SOLARAY,,,,,,,,GP TART CHERRY 425 MG,,,,,,90.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,1.98,,,,,
2,,0007628003900,,,,1,,,SOLARAY,,,,,,,,GP VALERIAN ROOT EXT-50 MG,,,,,,60.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
3,,0007628000110,,,,1,,,SOLARAY,,,,,,,,ALFALFA 500 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
4,,0007628000130,,,,1,,,SOLARAY,,,,,,,,ASTRAGALUS 400 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
5,,0007628001418,,,,1,,,SOLARAY,,,,,,,,AVENA SATIVA 350 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
6,,0007628000170,,,,1,,,SOLARAY,,,,,,,,BLACK COHOSH 540 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
7,,0007628000185,,,,1,,,SOLARAY,,,,,,,,BLADDERWRACK 580 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
8,,0007628000190,,,,1,,,SOLARAY,,,,,,,,BLESSED THISTLE,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
9,,0007628001120,,,,1,,,SOLARAY,,,,,,,,CASCARA SAGRADA,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
10,,0007628001125,,,,1,,,SOLARAY,,,,,,,,CATS CLAW BARK,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.52,,,,,
11,,0007628001130,,,,1,,,SOLARAY,,,,,,,,CAYENNE 40000,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
12,,0007628001134,,,,1,,,SOLARAY,,,,,,,,CAYENNE 100000,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
13,,0007628001140,,,,1,,,SOLARAY,,,,,,,,CAYENNE WITH GARLIC,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
14,,0007628008100,,,,1,,,SOLARAY,,,,,,,,COOL CAYENNE 40000HU,,,,,,90.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
15,,0007628008102,,,,1,,,SOLARAY,,,,,,,,COOL CAYENNE EXTRA HOT,,,,,,90.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
16,,0007628001154,,,,1,,,SOLARAY,,,,,,,,CELERY SEED,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
17,,0007628001180,,,,1,,,SOLARAY,,,,,,,,CHICKWEED,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
18,,0007628001210,,,,1,,,SOLARAY,,,,,,,,DANDELION ROOT,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
19,,0007628001220,,,,1,,,SOLARAY,,,,,,,,DEVILS CLAW,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
20,,0007628001235,,,,1,,,SOLARAY,,,,,,,,DONG QUAI,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
21,,0007628001244,,,,1,,,SOLARAY,,,,,,,,ECHINACEA GOLDENSEAL,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
22,,0007628001314,,,,1,,,SOLARAY,,,,,,,,ELEUTHERO,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
23,,0007628001255,,,,1,,,SOLARAY,,,,,,,,EYEBRIGHT-400 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.52,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positio,,,,,UPC,,Facings,,,,,,Brand,,,,,,Long Description,,,,,,Size,,,,,UOM,,,,,Date,,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 6,   Length: 4' 0.00"",    Height: 0' 5.50"",   Depth: 1' 1.00"",   Product: 3' 11.96""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0007628001910,,,,1,,,SOLARAY,,,,,,,,ORGANIC ALFALFA,,,,,,100.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
2,,0007628019110,,,,1,,,SOLARAY,,,,,,,,ORGANIC BURDOCK,,,,,,100.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
